,date,year,day,temp
98,12/10/2012,2012,0.7786885245901639,30.40041666666666
99,13/10/2012,2012,0.7814207650273224,30.87
100,14/10/2012,2012,0.7841530054644809,30.522916666666664
101,15/10/2012,2012,0.7868852459016393,29.624583333333334
102,16/10/2012,2012,0.7896174863387978,29.563333333333333
103,17/10/2012,2012,0.7923497267759563,31.707083333333333
104,18/10/2012,2012,0.7950819672131147,32.278749999999995
105,19/10/2012,2012,0.7978142076502732,32.601333333333336
106,20/10/2012,2012,0.8005464480874317,32.74478260869566
107,21/10/2012,2012,0.8032786885245902,32.25833333333333
108,22/10/2012,2012,0.8060109289617486,32.687083333333334
109,23/10/2012,2012,0.8087431693989071,32.29916666666667
110,24/10/2012,2012,0.8114754098360656,30.68625
111,25/10/2012,2012,0.8142076502732241,31.319166666666664
112,26/10/2012,2012,0.8169398907103825,31.80916666666667
