code,name,lat,long,tambon,amphoe,province,basin,sub_basin
MUN011,พิบูลมังสาหาร,15.249662,105.2393,โพธิ์ศรี,พิบูลมังสาหาร,อุบลราชธานี,มูล,ลำน้ำมูลตอนล่างส่วนที่ 1
MUN012,ประโคนชัย,14.633018,103.23046,ไพศาล,ประโคนชัย,บุรีรัมย์,มูล,ลำชี
MUN014,สตึก,15.299857,103.29231,นิคม,สตึก,บุรีรัมย์,มูล,ลำน้ำมูลส่วนที่ 2/4
MUNG,อบต.มะนังดาลำ,6.6733065,101.609245,มะนังดาลำ,สายบุรี,ปัตตานี,ภาคใต้ฝั่งตะวันออกตอนล่าง,แม่น้ำสายบุรี
MWOG,อบต.แม่วงก์,15.781017,99.545876,แม่วงก์,แม่วงก์,นครสวรรค์,สะแกกรัง,แม่น้ำสะแกกรังตอนล่างส่วนที่ 1
NAKU,อบต.นาคู,16.797869,104.04477,นาคู,นาคู,กาฬสินธุ์,ชี,ลำน้ำยัง
NAMN,สนามกีฬา ทต.บ่อแก้ว,18.210463,100.66244,บ่อแก้ว,นาหมื่น,น่าน,น่าน,น้ำแหง
NAN001,ท่าวังผา,19.096117,100.80263,ท่าวังผา,ท่าวังผา,น่าน,น่าน,แม่น้ำน่านส่วนที่ 2/1
NAN002,ภูเพียง,18.859726,100.817116,เมืองจัง,ภูเพียง,น่าน,น่าน,แม่น้ำน่านส่วนที่ 2/2
NAN003,เมืองน่าน,18.738026,100.75609,ท่าน้าว,ภูเพียง,น่าน,น่าน,แม่น้ำน่านส่วนที่ 2/3
NAN004,พิชัย,17.294397,100.08279,ในเมือง,พิชัย,อุตรดิตถ์,น่าน,แม่น้ำน่านส่วนที่ 4/2
NAN005,แม่น้ำเข็ก (ว้งทอง),16.855001,100.6668,วังนกแอ่น,วังทอง,พิษณุโลก,น่าน,แม่น้ำวังทอง
NAN006,บางกระทุ่ม,16.580505,100.23859,โคกสลุด,บางกระทุ่ม,พิษณุโลก,น่าน,แม่น้ำน่านตอนล่างส่วนที่ 1
NAN007,ตะพานหิน,16.270405,100.41391,งิ้วราย,ตะพานหิน,พิจิตร,น่าน,แม่น้ำน่านตอนล่างส่วนที่ 2
